epoch,loss,val_loss
0,14.426405906677246,14.565269470214844
1,14.035104751586914,13.62147331237793
2,13.451834678649902,12.993576049804688
3,12.692845344543457,12.479092597961426
4,11.9632568359375,11.608084678649902
5,11.029882431030273,10.80018424987793
6,10.446423530578613,10.179697036743164
7,9.715051651000977,9.448150634765625
8,8.952503204345703,8.77811050415039
9,8.369089126586914,8.035387992858887
10,7.800655841827393,7.555014133453369
11,7.35269832611084,7.147387504577637
12,6.899527072906494,6.6970672607421875
13,6.513114929199219,6.37641716003418
14,6.112099647521973,6.177953720092773
15,5.783087730407715,5.730005264282227
16,5.487026214599609,5.445074558258057
17,5.191406726837158,4.890985488891602
18,4.9606852531433105,4.904618740081787
19,4.727827072143555,4.661734104156494
