epoch,loss,val_loss
0,0.9307578206062317,0.8346818089485168
1,0.7721495628356934,0.8058308959007263
2,0.7511584758758545,0.7817217111587524
3,0.737265944480896,0.7643818259239197
4,0.7273625135421753,0.7567321062088013
5,0.7187221050262451,0.7479455471038818
6,0.7099364995956421,0.7356011271476746
7,0.7021117806434631,0.7301956415176392
8,0.6938470005989075,0.7266773581504822
9,0.6879494190216064,0.71258145570755
10,0.6815405488014221,0.7057254314422607
11,0.6748930215835571,0.7010210752487183
12,0.6690027713775635,0.6959614753723145
13,0.6643639206886292,0.6874574422836304
14,0.6578280329704285,0.6838990449905396
15,0.6540629863739014,0.6885252594947815
16,0.6489641666412354,0.6811991930007935
17,0.6425895094871521,0.6721976399421692
18,0.6386117339134216,0.6677799820899963
19,0.6340448260307312,0.6653807759284973
20,0.6290983557701111,0.658843457698822
21,0.6245905160903931,0.6530521512031555
22,0.6215857267379761,0.6539915800094604
23,0.6157841682434082,0.6480224132537842
24,0.6120518445968628,0.6449335813522339
25,0.608087420463562,0.6458321213722229
26,0.6041006445884705,0.6482672095298767
27,0.5995858907699585,0.6446568965911865
28,0.597364068031311,0.6362230777740479
29,0.5923511981964111,0.6372970342636108
30,0.590461015701294,0.6312831044197083
31,0.5868897438049316,0.6298739314079285
32,0.5838029384613037,0.6247683167457581
33,0.5791845321655273,0.623727560043335
34,0.57654869556427,0.6246229410171509
35,0.5736867785453796,0.6248315572738647
36,0.5705488920211792,0.6233746409416199
37,0.5679051280021667,0.6198688745498657
38,0.5651565194129944,0.624696671962738
39,0.562047004699707,0.6223108768463135
40,0.5596471428871155,0.6142574548721313
41,0.5565294027328491,0.6111209392547607
42,0.5536897778511047,0.6109331250190735
43,0.5494839549064636,0.6046985387802124
44,0.5474754571914673,0.6153834462165833
45,0.5439833998680115,0.6164493560791016
46,0.5421015620231628,0.6083220839500427
47,0.5398476123809814,0.6079198718070984
48,0.5369706749916077,0.6008292436599731
49,0.534258246421814,0.6072357892990112
50,0.5328147411346436,0.5930255055427551
51,0.528820276260376,0.5943945646286011
52,0.5279739499092102,0.6022125482559204
53,0.5268773436546326,0.5946904420852661
54,0.5230150818824768,0.5963969230651855
55,0.5204170942306519,0.5919151902198792
56,0.5180827975273132,0.5849546194076538
57,0.5149940252304077,0.5868260264396667
58,0.5130625367164612,0.5953519940376282
59,0.5109368562698364,0.5904059410095215
60,0.508395254611969,0.585134744644165
61,0.5062952041625977,0.5872024297714233
62,0.5051431059837341,0.5855252146720886
63,0.5016865730285645,0.5852853655815125
64,0.5002142190933228,0.5759210586547852
65,0.49736952781677246,0.5758016109466553
66,0.4952023923397064,0.5703577399253845
67,0.4944435954093933,0.5803161263465881
68,0.4910033643245697,0.5735130310058594
69,0.4897007942199707,0.5751475095748901
70,0.48634642362594604,0.5707316994667053
71,0.4858209788799286,0.5670439004898071
72,0.48349690437316895,0.5632367134094238
73,0.4817189872264862,0.562161386013031
74,0.4802248775959015,0.5595631003379822
75,0.47915467619895935,0.5667601823806763
76,0.4769815504550934,0.5607443451881409
77,0.474290132522583,0.5658172369003296
78,0.4735040068626404,0.553995668888092
79,0.4723656475543976,0.5627021789550781
80,0.4708670973777771,0.5548279285430908
81,0.46913525462150574,0.5574800372123718
82,0.4665997326374054,0.5517151355743408
83,0.4666026532649994,0.5533679127693176
84,0.46348631381988525,0.5512585639953613
85,0.4624691903591156,0.5517297387123108
86,0.46096280217170715,0.5489984750747681
87,0.4599021077156067,0.5527045726776123
88,0.4591333270072937,0.5548410415649414
89,0.45823726058006287,0.5470390915870667
90,0.4562787115573883,0.549695611000061
91,0.4562186598777771,0.5413514375686646
92,0.4530355632305145,0.5408987402915955
93,0.4522913694381714,0.5480208396911621
94,0.45196428894996643,0.5462870597839355
95,0.4497273862361908,0.5378895998001099
96,0.4488013684749603,0.5393610596656799
97,0.4482351541519165,0.5431985259056091
98,0.444968581199646,0.5400444865226746
99,0.4471662640571594,0.5354989767074585
