epoch,loss,val_loss
0,1.3511590957641602,1.2308357954025269
1,1.153085708618164,1.2543967962265015
2,1.0824388265609741,1.0973607301712036
3,0.9909125566482544,1.043216586112976
4,0.9665564298629761,0.965826153755188
5,0.9416642785072327,0.988320529460907
6,0.9409553408622742,0.9859978556632996
7,0.9320605397224426,0.9732246398925781
8,0.9144825339317322,0.9650165438652039
9,0.9063517451286316,0.942621648311615
10,0.8925046920776367,1.0342687368392944
11,0.8984748721122742,0.9180951118469238
12,0.9029977321624756,0.9529590010643005
13,0.9045838713645935,0.9441990852355957
14,0.8992945551872253,0.9722122550010681
15,0.894094705581665,0.9430681467056274
16,0.900709331035614,0.92836993932724
17,0.8952508568763733,0.9680216312408447
18,0.8977511525154114,0.9487624168395996
19,0.8920730352401733,0.9087372422218323
0,1.1838047504425049,1.0662883520126343
1,1.061804175376892,1.0001928806304932
2,0.9793804287910461,0.9429124593734741
3,0.9266900420188904,0.9446063041687012
4,0.8967180252075195,0.9359546303749084
5,0.8930106163024902,0.9545772671699524
6,0.8823723196983337,0.907489538192749
7,0.8661618828773499,0.9153595566749573
8,0.862210214138031,0.880638062953949
9,0.846069872379303,0.8773104548454285
10,0.8491957187652588,0.8862147331237793
11,0.8422057032585144,0.8923168182373047
12,0.8384531736373901,0.8646601438522339
13,0.835879385471344,0.8910095691680908
14,0.8369454145431519,0.8756828308105469
15,0.8307998180389404,0.8887157440185547
16,0.8303548097610474,0.859004020690918
17,0.8232929706573486,0.8732489347457886
18,0.8261977434158325,0.8522025942802429
19,0.826360285282135,0.8698896169662476
0,1.1153665781021118,1.1250749826431274
1,0.9940645694732666,1.0562710762023926
2,0.9783300161361694,1.0016895532608032
3,0.9258353114128113,0.9374081492424011
4,0.9052078723907471,0.9432640671730042
5,0.8882379531860352,0.8750483393669128
6,0.859436571598053,0.883817732334137
7,0.8670778870582581,0.9049713015556335
8,0.8567346930503845,0.863359808921814
9,0.845603346824646,0.8805065751075745
10,0.8452506065368652,0.8773094415664673
11,0.8333144783973694,0.8747861981391907
12,0.8379554152488708,0.8891903758049011
13,0.8333256840705872,0.8713909387588501
14,0.8303679823875427,0.8929052948951721
15,0.8356381058692932,0.8691240549087524
16,0.8263749480247498,0.8700966238975525
17,0.8235220909118652,0.8638967871665955
18,0.8218519687652588,0.847633957862854
19,0.8208869099617004,0.8617579936981201
