epoch,loss,val_loss
0,1.2942960262298584,1.2606515884399414
1,1.132238507270813,1.0447219610214233
2,1.0364327430725098,1.0654970407485962
3,0.9860752820968628,1.0283807516098022
4,0.9487709999084473,0.9900660514831543
5,0.9273065328598022,1.0100051164627075
6,0.9305746555328369,0.9605796337127686
7,0.9280808568000793,0.9986608624458313
8,0.9199076890945435,0.9494014382362366
9,0.9030613303184509,0.9522752165794373
10,0.9096245765686035,0.9621637463569641
11,0.9129379391670227,0.9618040919303894
12,0.9123497009277344,0.9356052875518799
13,0.9128144383430481,0.9418898224830627
14,0.9010075330734253,0.9691294431686401
15,0.9021843671798706,0.93294358253479
16,0.900872528553009,0.9243389964103699
17,0.8972692489624023,0.9498375654220581
18,0.9051802754402161,0.9252593517303467
19,0.8947234749794006,0.9424881935119629
